store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
D'Penyetz,Tiong Bahru Plaza,Frasers Property,#B1-111,Basement 1,Food & Beverage,Food & Restaurants,,True,True,"Home-grown brand D'Penyetz specialising in Ayam Penyet, offers a variety of items on the menu that features predominantly well-loved Indonesian classics with our signature SMASHED-FRIED CHICKEN & delicious Sambal of various spicy levels.",https://www.dpenyetz.sg/,frasers-storesearch
Du Du Dumplings,Tiong Bahru Plaza,Frasers Property,#02-111,Level 2,Food & Beverage,Food & Restaurants,,True,False,"Du Du Dumplings offers a delightful experience for dumpling lovers. Known for its delicious and freshly made dumplings, the restaurant serves a variety of options, from savory to spicy, catering to different tastes. Their signature dishes include juicy dumplings filled with flavorful ingredients, all expertly prepared to deliver a satisfying meal. Whether you're craving classic dumplings or trying something new, Du Du Dumplings promises a tasty and enjoyable dining experience.",,frasers-storesearch
EAT.,Tiong Bahru Plaza,Frasers Property,#B1-140,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"EAT. is a “one-stop” food outlet serving your favourite local traditional fare like fishball noodles, minced meat noodles (‘bak chor mee’), and laksa, enjoyed in a comfortable and cosy setting. You can also find finger foods such as traditional handmade ngoh hiang and homemade iced lemon tea.",http://eat.com.sg/,frasers-storesearch
Eu Yan Sang,Tiong Bahru Plaza,Frasers Property,#B1-126,Basement 1,Health & Pharmacy,Pharmacy & Healthcare,,False,False,"Eu Yan Sang is Asia's leading integrative healthcare and wellness company with a strong foundation in Traditional Chinese Medicine (TCM). Founded in 1879 with the mission of 'Caring for Mankind' - Today, Eu Yan Sang is a trusted household brand. Calm Hours To create a calm and sensory-friendly environment for neurodivergent individuals and their caregivers, this store has designated ""Calm Hours"" where noise and lighting levels are reduced. “Calm Hours” at this store are: Every Mon & Tue 10am - 11am Dementia Go-to Points This shop serves as a Dementia ""Go-To Point"", a safe space manned by trained personnel to support and assist individuals with dementia when they require help. Available every day during operating hours. Learn more about accessibility at the Malls of Frasers Property",https://www.euyansang.com.sg/,frasers-storesearch
Eu Yan Sang TCM Clinic,Tiong Bahru Plaza,Frasers Property,#02-142,Level 2,Health & Pharmacy,Pharmacy & Healthcare,,False,False,"As a most trusted chain of Traditional Chinese Medicine (TCM) and integrative health clinics, Eu Yan Sang genuinely cares about providing good lifelong health to our customers. We believe in a holistic approach to total health and well-being. Our TCM and Western General Practitioner clinics offer a comprehensive range of traditional Chinese medicines and therapies for effective healing and renewed vitality. Whether you seek treatment for acute or chronic health conditions or simply want to optimise your health, our professionally qualified and experienced team can provide a complete health assessment and personalised treatment plan.",https://sg.euyansangclinic.com/,frasers-storesearch
Ex Beauty,Tiong Bahru Plaza,Frasers Property,#03-107,Level 3,Beauty & Wellness,Hair & Beauty,,False,False,EX beauty is dedicated to professional beauty services using the latest technology and methodology in the beauty industry. Our beauty salons staffs are from the beauty industry with more than 10 years of working experience in various high-profile beauty brands. All of our staff are equipped with recognized professional qualifications in the industry. We are committed to upgrading ourselves consistently professionally in our specialized field to bring the best services to our customers.,https://exbeauty.com.sg/,frasers-storesearch
FairPrice Finest,Tiong Bahru Plaza,Frasers Property,#B1-122,Basement 1,Supermarket & Convenience,Supermarket,,False,False,"FairPrice Finest seeks to bring the finest things in life to customers. It combines the heritage of a trusted brand with a whole new experience of fine living at affordable pricing. Scrumptious delis and vintage wines in our gourmet selection are a sensory delight to the gastronome. Our fresh seafood along with our seasonal produce and international selection are carefully hand-picked from all over the world to please even the most discerning palates. Not forgetting the health-conscious; they can take delight with our expanding range of prized organic items and fresh fruits. From the conventional to the epicurious, here is where you can celebrate the finest things in life.",https://www.fairprice.com.sg/,frasers-storesearch
Fore Coffee,Tiong Bahru Plaza,Frasers Property,#01-111,Level 1,Food & Beverage,Food & Restaurants,,True,False,"In the pursuit of brewing the perfect cup, Fore Coffee is bringing the Indonesian coffee lifestyle to Singapore. As the pioneer that seeks to introduce what it means to enjoy coffee the Indonesian way, we promise to deliver more than just taste, but also a collection of stories brewed together into a solid experience. With Fore Coffee, embrace the evolving coffee culture as we redefine what it means to enjoy a cup of coffee, delivering the best Indonesia has to offer with our signature creations and innovations.",https://fore.coffee/,frasers-storesearch
Four Leaves,Tiong Bahru Plaza,Frasers Property,#B1-130,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Established since 1981, Four Leaves has developed into one of the leading chain bakeries in Singapore. Walk into any Four Leaves bakery and you will be welcomed by the aroma of the freshly baked products, as well as getting spoilt for choice due to the wide variety that they offer.",https://fourleaves.com.sg/,frasers-storesearch
Fruit Box,Tiong Bahru Plaza,Frasers Property,#B1-112,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Fruit Box, with its pure quality, is the best nutritious partner for the city dweller! Providing 100% fresh fruit juices that are all-natural, containing phytonutrients; which are disease-fighting compounds and the healthiest beverage choice. Fruit Box only uses and purchase natural ingredients from reliable, and accredited suppliers who provide high-quality ingredients.",,frasers-storesearch
Fun Toast,Tiong Bahru Plaza,Frasers Property,#01-161,Level 1,Food & Beverage,Food & Restaurants,,True,False,"Bringing back the traditional Nanyang Coffeehouse nostalgia, Fun Toast serves well-brewed fragrant local Coffee and Tea, deliciously fresh Yuan Yang Soft Bun, Ham & Cheese French Toast and many more. Give their homemade signature Soya Sauce Chicken a try too. It will definitely keep you coming back for more. Check out their new range of merchandise as well, not to be missed!",https://www.funtoast.com.sg/,frasers-storesearch
Giordano,Tiong Bahru Plaza,Frasers Property,#02-129,Level 2,Fashion & Accessories,Fashion Wear & Accessories,,False,False,"Giordano embodies today’s contemporary lifestyle choices – simplicity in design and quality in substance. Their total commitment to superior service and outstanding quality and value has enabled the company to successfully grow the brands Giordano, Giordano Ladies, Giordano Junior, BSX, and Beau Monde. The essence of Giordano is to provide relevant, essential and timeless fashion for all; and to develop apparel for everyone regardless of ethnicity, nationality or culture, truly illustrating their brand value “World Without Strangers”.",https://www.giordano.com.sg/,frasers-storesearch
Glassesgateway,Tiong Bahru Plaza,Frasers Property,#01-134,Level 1,Beauty & Wellness,Optical,,False,False,"At Glassesgateway, unlock your style with frames that blend fashion and function. Discover our affordable curated collection with wide range od lens options from progressive office wear to active sports wear and polarised lenses. Find your perfect pair with our expert guidance and pair them with lenses tailored to your needs. Shop online or in-store today!",https://eyedentity.sg/,frasers-storesearch
Gong Yuan Ma La Tang,Tiong Bahru Plaza,Frasers Property,#02-113,Level 2,Food & Beverage,Food & Restaurants,,True,False,"Gong Yuan Ma La Tang is a 100% local-owned brand that was established in 2017 to provide a unique Ma La cuisine experience while retaining the authenticity of the local fan favourite dish. GYMLT offer drinkable Ma La soup bases that do not leave a greasy or overwhelming aftertaste, so that customers can enjoy it till the very last drop. GYMLT understands that different people have different dietary needs and spice preferences. Hence, GYMLT offers other soup bases such as Mushroom, Pork bone, Tomato and Pickled Vegetable soup bases for those who do not enjoy spices We have also come up with a vegetarian friendly soup for our vegetarian consumers.",https://royaltgroup.com/our-brands/gong-yuan-ma-la-tang.html,frasers-storesearch
Guardian,Tiong Bahru Plaza,Frasers Property,#B1-125,Basement 1,Health & Pharmacy,Pharmacy & Healthcare,,False,False,"Guardian Health & Beauty is the leading health and beauty chain in Singapore since 1972. With over 138 stores island-wide, Guardian Health & Beauty operates the nation's biggest chain of pharmacies and retails a comprehensive range of health & beauty products. Pharmacy services available! Guardian has evolved from its pharmacy roots into a holistic one-stop solution for consumers' health and beauty needs. Professional services such as patient-care counselling, dispensary services, beauty and personal care solutions are offered at all stores as a convenient one-stop for health and beauty. We continue to build on our rich healthcare heritage with an award-winning team of pharmacists who have consistently won multiple pharmacist awards every year.",https://www.guardian.com.sg/,frasers-storesearch
Heart Springs Spa,Tiong Bahru Plaza,Frasers Property,#04-102,Level 4,Beauty & Wellness,Hair & Beauty,,False,False,"Spring Into A better You! Heart Springs Spa is an exquisite spa that allows you to indulge your senses, invigorate your body and inspire your mind. Simply devoted to authenticity and harmony, the wide range of beauty services available at Heart Springs Spa includes facials, massages, foot reflexology, hyfro-therapies, body polishes, bust enhancement, ear candling, IPL hair removal, IPL anti-acne and eyebrow embroidery.",https://www.heartspringsspa.com.sg/,frasers-storesearch
HockHua Tonic,Tiong Bahru Plaza,Frasers Property,#B1-129,Basement 1,Health & Pharmacy,Pharmacy & Healthcare,,False,False,"Hockhua Tonic, a household name in Singapore and Malaysia since 1989, is known for its retail chain of stores stocked with traditional Chinese medicines (TCM), health supplements and tonics. Renowned for its quality ginseng and wide range of bird's nest products, it also offers seafood delicacies such as abalones, dry scallops, Chinese herbs and a variety types of self-manufactured nutrition organically grown products.",https://hockhuatonic.com/,frasers-storesearch
Hoe Nam Vintage,Tiong Bahru Plaza,Frasers Property,#02-105/106,Level 2,Food & Beverage,Food & Restaurants,,True,False,"Hoe Nam Vintage stands as a proud torchbearer of Singapore’s rich Local Delicacies’ heritage, carrying forward the legacy of the famed Hoe Nam (River South) brand while refining its offerings for a new generation of Food lovers. Hoe Nam Vintage Tiong Bahru Plaza is the 8th Outlet under our belt with an outlet-exclusive highlight, the Special Sauce Pig’s Tail delivers a rich, silky indulgence braised to perfection in a fragrant, house-crafted sauce. Best known for its umami-packed prawn noodles, Hoe Nam Vintage elevates a classic favourite with deep, slow-cooked broths, fresh succulent prawns, and springy noodles that absorb every layer of flavour. Each bowl captures the essence of traditional prawn mee yet delivers a polished, contemporary finish, an homage to the beloved original while appealing to today’s discerning palates. Complementing its signature noodles is Hoe Nam Vintage’s modernistic-nostalgic take on Bak Kut Teh. Drawing inspiration from generations-old recipes, the dish balances peppery warmth with a nuanced depth, offering a comforting yet revitalised interpretation of the iconic soup. The tender pork ribs, aromatic spices and carefully calibrated broth reflect both tradition and thoughtful innovation. Together, these offerings embody the brand’s commitment to preserving local food culture while embracing quality and creativity. Hoe Nam Vintage continues to be a culinary anchor in Singapore’s evolving dining scene, an institution that honours the past, delights the present and ensures that cherished flavours endure for years to come.",,frasers-storesearch
Honor Experience Store,Tiong Bahru Plaza,Frasers Property,#01-133,Level 1,Electronics & Technology,"Electrical, Electronic, Camera & Telecommunication",,False,False,"Established in 2013, HONOR is a leading global provider of smart devices. They are committed to becoming a global iconic tech brand and enabling a smart life across all scenarios and all channels, for all people. With a strategic focus on innovation, quality, and service, HONOR is dedicated to developing technology that empowers people around the globe, to go beyond its capabilities and forward-looking technology as well as create a new intelligent world for everyone with its portfolio of innovative products.",,frasers-storesearch
Iliyas Trading Money Changer,Tiong Bahru Plaza,Frasers Property,#02-K02,Level 2,Services,Bank & Money Changer,,False,False,"Iliyas Trading Money Changer, licensed by the Monetary Authority of Singapore(MAS), has been providing money changing services for over 25 years. We have forged trust and reliability with our customers over the years. With dedicated professionals well versed in the foreign exchange market we pledge to keep up with the current trends and provide competitive rates to our customers.",,frasers-storesearch
Japan Home,Tiong Bahru Plaza,Frasers Property,#B1-101/102/103,Basement 1,Home & Living,"Furniture, Furnishings and Household",,False,False,"With more than 65 outlets island-wide, Japan Home has grown from strength to strength. Embodying a philosophy for quality without compromise, Japan Home prides itself in the provision of a wide range of household products at affordable prices. Today, Japan Home is a household name with an unrivaled reputation as a one-stop provider for all your household needs.",https://www.japanhomeeshop.com/,frasers-storesearch
Jean Yip Group,Tiong Bahru Plaza,Frasers Property,#03-104,Level 3,Beauty & Wellness,Hair & Beauty,,False,False,"With 30 years of rich and expansive experience in the art of beautifying customers, Jean Yip Group is Singapore’s leading hair and beauty chain. Since inception, Jean Yip has gradually increased its range of services from hairdressing to beauty and slimming services to providing one-stop beauty services. Catering to the individual needs of everyone, Jean Yip aims to fulfill all your beauty wishes.",https://jeanyipgroup.com,frasers-storesearch
Jia Li Seafood Soup,Tiong Bahru Plaza,Frasers Property,#B1-135,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Local brand name, Umami filled seafood soup, serving the freshest and tastiest seafood soup, every bowl cooked with dedication and perfection. A hearty, comforting meal perfect for any time of the day.",,frasers-storesearch
kcuts,Tiong Bahru Plaza,Frasers Property,#B1-105,Basement 1,Beauty & Wellness,Hair & Beauty,,False,False,"Enjoy your basic, no-frills Korean themed hair cut here at kcuts. With outlets conveniently located all across the island, kcuts provide reasonably priced and stylish haircuts wherever you are.",https://www.k-cuts.com,frasers-storesearch
Kent Ridge Education Hub,Tiong Bahru Plaza,Frasers Property,#02-145,Level 2,Services,Schools & Offices,,False,False,"Founded in 1988, Kent Ridge Education (KRTC) is now a leading education chain in Singapore with more than 100,000 students. We offer a full range of academic and enrichment programmes from 4 years old to 18 years old.",https://krtc.com.sg/,frasers-storesearch
KFC,Tiong Bahru Plaza,Frasers Property,#B1-133/134,Basement 1,Food & Beverage,Food & Restaurants,,True,True,"Captivating aroma, succulent juicy chicken and thoughtful service are what KFC lovers come back for. Choose between our signature Original Recipe chicken prepared with Colonel Sander's secret blend of 11 herbs & spices, or the all-time favourite Hot & Crispy chicken. Check out the perennially popular KFC a.m. Breakfast menu and the variety of food items from Rice to Egg Tarts as well. Visit KFC today for an experience that is so good.",https://www.kfc.com.sg/,frasers-storesearch
Kimage,Tiong Bahru Plaza,Frasers Property,#03-109,Level 3,Beauty & Wellness,Hair & Beauty,,False,False,"Kimage believes in individuality. Our experienced, professional stylists provide personal consultations based on your personality and lifestyle. Then they work their magic and transform your look, letting your crowning glory shine through a range of innovative, creative hair services that are customised based on your needs.",https://www.kimage.com.sg/,frasers-storesearch
KKV,Tiong Bahru Plaza,Frasers Property,#02-116,Level 2,"Hobbies, Leisure & Entertainment",Gifts,,False,False,"KKV, a retail brand of exquisite lifestyle, is the first flagship brand of KK GROUP. KKV integrates 9 kinds of exquisite lifestyle products such as fashion toys,exquisite food,quality daily use, creative stationery,and fashion makeup, with more than 20,000 SKUs featuring various well-known brands.",https://www.kkgroup.cn/,frasers-storesearch
KOI Thé,Tiong Bahru Plaza,Frasers Property,#01-155,Level 1,Food & Beverage,Food & Restaurants,,True,False,"KOI THÉ Singapore was first established in 2007 with the vision to bring happiness to the world when they drink a cup of tea. THÉ means “TEA” in French, its pronunciation also sounds like Taiwanese “TÉ” in KOI. KOI's Milk Tea is irresistible with a variety of outstanding toppings and exclusive flavors that differentiate us from the rest. As Singapore's renowned bubble tea brand, KOI focuses on brewing aromatic tea with quality. The freshly brewed tea and flavourful ingredients, prepared with passion are the key to KOI’s authentic taste. KOI shares its happiness and love of tea with everyone, making every experience memorable.",https://www.koithe.com/en,frasers-storesearch
Koo Kee,Tiong Bahru Plaza,Frasers Property,#B1-136,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Koo Kee serves authentic and flavorful Yong Tow Foo since 1954, building a rich heritage of delicious dishes. In addition to our signature Yong Tow Foo, indulge in nutritious Steamed Rice and Soups. Every visit promises handcrafted ingredients, quality noodles, and comforting broths for a truly satisfying meal.",,frasers-storesearch
Kopitiam,Tiong Bahru Plaza,Frasers Property,#03-101/102,Level 3,Food & Beverage,Food & Restaurants,,True,False,"Get ready to embark on a culinary adventure in the spacious environment at Kopitiam, which now boasts 328 seats and is home to nine carefully curated stalls including traditional brands like Qiu Lian Ban Mian, Koo Kee Yong Tow Foo Mee, Lau Di Fang Scissors Cut Curry Rice and Herbal Soup by Master Shen, Pin Wei (Michelin Guide Recommended), old favourite Pepper Kitchen, and relatively new to the hawker trade like Cuo Cuo You Yu, Kallang Airport Wanton Mee, Han Ssik Dang Korean Cuisine and Ipoh Roasted Duck & Chicken.",https://www.kopitiam.biz,frasers-storesearch
KSkin and Myeongdong Hair Studio,Tiong Bahru Plaza,Frasers Property,#03-106,Level 3,Beauty & Wellness,Hair & Beauty,,False,False,"KSKIN AND MYEONGDONG HAIR STUDIO offers full Korean hair and makeup services. Our pioneering, International Award Winning Styling team will always strives to push the boundaries and set the trends when it comes to hairdressing. If you can envisage your dream hairstyle or colour, we can create it.",,frasers-storesearch
LAC,Tiong Bahru Plaza,Frasers Property,#B1-116,Basement 1,Health & Pharmacy,Pharmacy & Healthcare,,False,False,"LAC brand, short for Leader in Antioxidative Control™, a leading health and wellness supplement brand with a global presence. Since its founding, LAC has embarked on a pioneering journey to develop scientifically based formulas, harnessing the best of eastern wisdom and western technology to fight free radicals, combat ageing brought forth by oxidative stress, and support you daily in looking, feeling, and functioning at your best.",https://www.LAC.sg,frasers-storesearch
Lee Heng Jewellers,Tiong Bahru Plaza,Frasers Property,#01-137,Level 1,Jewellery & Watches,Jewellery & Watches,,False,False,"Founded in 1965, Lee Heng Jewellers is one of Singapore’s longest-established jewellers and the exclusive distributor for EITA 916 white gold & 916 yellow gold collections. Their designs range from modern to traditional, so that there is always something for everyone and every occasion. A recipient of the Quality Jewellers of Singapore scheme, you can rely on Lee Heng Jewellers for quality products and excellent service to match.",https://www.leeheng.com.sg/,frasers-storesearch
LiHO TEA,Tiong Bahru Plaza,Frasers Property,#B1-K09,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"‘LiHO means “How are you in Hokkien” and we take pride in our name as it celebrates Singapore as a melting pot of culture. A simple greeting of LiHO is a great way for individuals to bond and it is even better with a cup of Singapore’s homegrown tea brand, LiHO Tea. Brown Sugar Pearl, Avocado and Fruit Tea are what LiHO does best and it is the heart of our brand.” Great emphasis is placed on the entire process, from choosing the right tea to roasting, to brewing and finally serving it.",https://lihosg.com/,frasers-storesearch
London Weight Management,Tiong Bahru Plaza,Frasers Property,#02-141/141A,Level 2,Beauty & Wellness,Hair & Beauty,,False,False,"Award-winning slimming brand, London Weight Management is truly a beauty essential for women who want to lose weight and reshape their silhouettes successfully. Every treatment at London Weight Management consists of a detailed body fat analysis and a series of customised slimming techniques to help you achieve that trim and womanly figure you desire. Safe, effective, and best of all, non-surgical way to slim down easily and quickly.",https://londonweight.com.sg/,frasers-storesearch
Long John Silver's,Tiong Bahru Plaza,Frasers Property,#01-160,Level 1,Food & Beverage,Food & Restaurants,,True,False,"Long John Silver’s mission is to provide everyone great tasting, reasonably-priced seafood and chicken in a fast, friendly manner. Their secret batter is prepared fresh throughout the day and makes Long John Silver's seafood and chicken tastes like no other in the world.",https://www.longjohnsilvers.com.sg,frasers-storesearch
Maxi-Cash,Tiong Bahru Plaza,Frasers Property,#01-151/156,Level 1,Services,Services,,False,False,"Maxi-Cash is the first public-listed pawnbroker in Singapore. Besides providing pawnbroking services, Maxi-Cash also retails brand new gold, diamond jewellery and preloved luxury goods.",https://www.maxi-cash.com/,frasers-storesearch
McDonald's,Tiong Bahru Plaza,Frasers Property,#01-145/146/147,Level 1,Food & Beverage,Food & Restaurants,,True,False,"McDonald's business is never just about providing quick meals. It's always been about you - your tastes, your lifestyle, your choices. And they'd like to keep it that way, with you lovin' every moment of it. This is how McDonald's put their heart and soul into each and every one of their delicious, wholesome meals. Each 'mmm' and 'ahhh' from you is thanks enough. As you change and grow, McDonald's will be right there with you every step of the way. Today and tomorrow.",https://www.mcdonalds.com.sg/,frasers-storesearch
MediFeet,Tiong Bahru Plaza,Frasers Property,#02-122,Level 2,Fashion & Accessories,Fashion Wear & Accessories,,False,False,"MEDIFEET is the leading medical footwear and podiatrist preferred footwear for health, comfort and style. The research and development department are led by a technical team with more than 30 years of experience and supported by our corporate partners, APMA and Australian Podiatry Association. Our orthopedic shoes come in a variety of styles from dress to casual and in multiple sizes and widths. You’ll also find a grand selection of arch supports, orthopedic slippers, house shoes and other foot care products designed to minimize the discomfort caused by diabetic foot problems, plantar fasciitis, bunions, heel pain, post-surgical healing, and other foot conditions. MEDIFEET, the healthier option for on-trend footwear.",,frasers-storesearch
Mincheng Bibimbap,Tiong Bahru Plaza,Frasers Property,#02-136,Level 2,Food & Beverage,Food & Restaurants,,True,False,"Mincheng Bibimbap 민정비빔밥 敏丁拌饭 is a renowned establishment specializing in Chinese Korean （中国朝鲜族）ethnic cuisine, offering a unique blend of flavors that reflect the rich culinary heritage of the Yanbian Korean Autonomous Prefecture in China. Our menu boasts diverse dishes, with the iconic Mincheng Bibimbap taking center stage. In addition to this signature dish, we offer Stone Plate series and a selection of savory soups inspired by Korean traditions. Complementing these are complimentary offerings like Rice Kimchi and seaweed soup, ensuring a complete and satisfying dining experience.",https://www.minchengbibimbap.com/,frasers-storesearch
MINISO,Tiong Bahru Plaza,Frasers Property,#02-127,Level 2,"Hobbies, Leisure & Entertainment",Gifts,,False,False,"Established in Tokyo, Miniso was jointly founded by Miyake Junya, the chief designer of MINISO, and Ye Guofu, a young Chinese entrepreneur, with the aim of advocating a fashionable and relaxed lifestyle. Today, Miniso is a global fast fashion designer brand, offering a wide range of products across 10 product categories including lifestyle, home, gifts, and electronics. Miniso is dedicated to providing customers with quality and creative products at affordable prices.",https://minisosingapore.com/,frasers-storesearch
Mobilestop,Tiong Bahru Plaza,Frasers Property,#B1-114,Basement 1,Electronics & Technology,"Electrical, Electronic, Camera & Telecommunication",,False,False,"One stop shop for all your mobile accessories needs, featuring cases and gadgets from Aukey, Casetify, Case-Mate, Burga, Moft, and more.",https://www.mobilestopsg.com/,frasers-storesearch
MOS Burger,Tiong Bahru Plaza,Frasers Property,#B1-139,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"MOS Burger is a premium Japanese hamburger chain restaurant which offers a wide variety of unique and original tasting burgers. To ensure that our products are of the finest, the healthiest and the freshest quality, we use more vegetables for the burgers and we hand prepared the vegetables every morning instead of pre-packed the vegetables in factory. Every burger is prepared only upon customers’ order to ensure that customer can enjoy the flavour of the burger to the fullest.",https://www.mosburger.com.sg/,frasers-storesearch
Mr Bean,Tiong Bahru Plaza,Frasers Property,#B1-K04,Basement 1,Food & Beverage,Food & Restaurants,,True,True,"Founded in 1995, Mr Bean is the leading chain soya bean food & beverage retailer in Singapore today. With more than 50 stores in Singapore & Asia, Mr Bean offers a variety of soya bean drinks and snacks. Young and old can enjoy refreshing ice blended flavoured soya drinks, ice-creams, pastries and more. Today, Mr Bean prides itself on a strong corporate philosophy of placing customers' interest as their top priority as they continue to emphasize on research to produce healthy and creative products with traditional nutritional values.",https://www.mrbean.com.sg/,frasers-storesearch
Mr. Coconut,Tiong Bahru Plaza,Frasers Property,#01-153,Level 1,Food & Beverage,Food & Restaurants,,True,False,"Mr. Coconut is a Singapore’s brand which is well-known for its coconut-based beverages. Started in 2016, Mr. Coconut aims to share the natural goodness and nutritional benefits of coconuts with everyone. Our products are made with 100% Fresh Coconut Juice, prepared daily, well suited for the humid weather. It also provides coconut lovers with a satisfying and refreshing feel.",https://mrcoconut.sg/,frasers-storesearch
MS NEW,Tiong Bahru Plaza,Frasers Property,#02-128,Level 2,Fashion & Accessories,Fashion Wear & Accessories,,False,False,"Welcome to MS NEW, a distinguished Singaporean brand in the world of women's fashion retail. With 15 years of experience, MS NEW is a household name in the local retail scene, offering a diverse range of high-quality apparel. MS NEW believes that fashion should know no age, and their collection caters to women of all generations.",https://msnew.com.sg/,frasers-storesearch
Munchi Pancakes,Tiong Bahru Plaza,Frasers Property,#B1-121,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"We serve both the classic Min Jiang Kueh and Munchi pancakes with creative hot and cold fillings for a modern twist on tradition. We take pride in using high-quality ingredients to ensure the freshest taste. We also offer vegan-friendly options, so that everyone can enjoy our delicious creations. Experience the perfect balance of tradition and innovation in every bite.",https://www.munchipancakes.com/,frasers-storesearch
My Digital Lock,Tiong Bahru Plaza,Frasers Property,#02-132,Level 2,Home & Living,"Furniture, Furnishings and Household",,False,False,"My Digital Lock provides one stop solution for your Digital Door Lock, Laundry Hanger, Security box, HDB Fire Rated Main Door, HDB Gate, HDB Laminate bedroom door & PVC Slide and swing toilet door. We specialise in KEYWE & EPIC Digital Lock with Digital lock installation for EC Condo and BTO HDB Fire Rated Main Door in Singapore.",https://www.mydigitallock.com.sg/,frasers-storesearch
N20 Nail Spa,Tiong Bahru Plaza,Frasers Property,#03-105,Level 3,Beauty & Wellness,Hair & Beauty,,False,False,"N20 Nail Spa provides premier nail care manicure, pedicure and beauty services in Singapore. If there is anything we desire the most, it is to delight our customers and earn their smile. At N20, our nail and beauty artists are well-trained, experienced in nail care, beauty, hands and feet therapy.",,frasers-storesearch
Nailz Gallery,Tiong Bahru Plaza,Frasers Property,#B1-108,Basement 1,Beauty & Wellness,Hair & Beauty,,False,False,"At Nailz Gallery, we believe that every man and woman has the right to look and feel their best. Colour is the answer, not only for our nails, but for the ways we show up and express ourselves regardless of gender roles, social status, or feeling the need to “fit in”. Whether you are looking for manicure, pedicure, hand/foot spa, nails treatments, eyelash extensions, eyebrow embroidery or waxing services, we can do it all!",https://www.nailzgallery.com,frasers-storesearch
Nam Kee Pau,Tiong Bahru Plaza,Frasers Property,#B1-K05,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Nam Kee Pau specialises in traditional handmade pau from authentic traditional recipes of the famous Nam Kee Pau in Johor Bahru in Malaysia. At Nam Kee Pau, all the pau items are handmade in-house. You can also indulge yourself in a hearty serving of mee hoon kuay or ke kou mian as well as lor mai kai (glutinous rice chicken) and siew mai, just to name a few.",https://feisionggroup.com.sg/brands/nam-kee-pau,frasers-storesearch
Nan Yang Dao,Tiong Bahru Plaza,Frasers Property,#02-115,Level 2,Food & Beverage,Food & Restaurants,,True,False,"Nan Yang Dao (南洋岛) is a fast-growing Malaysian-inspired kopitiam chain launched in Singapore in 2022 by Malaysian chef Jackson Chu alongside brothers Wee and Vincent Liow. The brand aims to deliver “the best flavours of Malaysia” through classic regional dishes such as Penang fried kway teow, Penang assam laksa, KL Hokkien mee, and its unique Nanyang Fried Nasi Lemak.",http://www.nanyangdao.com,frasers-storesearch
New Nada Barber,Tiong Bahru Plaza,Frasers Property,#B1-104,Basement 1,Beauty & Wellness,Hair & Beauty,,False,False,New Nada is a Barber Shop which provides haircuts to males. Our professional and experienced Barbers provide top notch quality haircuts and excellent service at all times. Visit them at Tiong Bahru Plaza today!,,frasers-storesearch
New York Skin Solutions,Tiong Bahru Plaza,Frasers Property,#02-120A,Level 2,Beauty & Wellness,Hair & Beauty,,False,False,"Established in 2004, New York Skin Solutions has earned an excellent reputation in the beauty industry with proven treatment results* for both male and female customers. Formulated to suit Asian skin types, New York Skin Solutions will work effectively for your particular needs, helping you to restore healthy and radiant skin.",https://newyorkskinsolutions.com.sg/,frasers-storesearch
NiKU iKU,Tiong Bahru Plaza,Frasers Property,#B1-137,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"NiKU iKU brings you authentic grilled & simmered Japanese takeout, crafted for comfort and satisfaction. From flame-kissed yakiniku to slow-simmered nitsuke, every bowl features rich flavour & the finest cuts — paired with premium Niigata rice and proprietary sauces. Every meal is a satisfying experience.",,frasers-storesearch
Nine Fresh,Tiong Bahru Plaza,Frasers Property,#B1-K01,Basement 1,Food & Beverage,Food & Restaurants,,True,False,"Nine Fresh is a home-grown brand specializing in a wide selection of chilled taro ball desserts that are freshly scooped and served daily. With 3 different types of signature bases (Bean Curd, Grass Jelly and Ai-Yu Jelly) and a huge variety of toppings such as beans, jellies as well as chewy delights (signature taro balls, mini taro Q and black pearl), they cater to different palates and preferences!",https://ninefresh.com/,frasers-storesearch
OCBC,Tiong Bahru Plaza,Frasers Property,#01-125,Level 1,Services,Bank & Money Changer,,False,False,"OCBC and its subsidiaries offer a broad array of specialist financial and wealth management services, ranging from consumer, corporate, investment, private and transaction banking to treasury, insurance, asset management and stockbroking services.",https://www.ocbc.com,frasers-storesearch
Old Chang Kee,Tiong Bahru Plaza,Frasers Property,#B1-119,Basement 1,Food & Beverage,Food & Restaurants,,True,True,"Old Chang Kee is a household name famous for it's delectable curry puffs that are filled with curried potatoes, chicken and a slice of hardboiled egg, all cooked with special herbs and spices. Other than curry puffs, Old Chang Kee also boasts spring rolls, crab claws, sotong wings and yam pies amongst it's vast product range.",https://www.oldchangkee.com/,frasers-storesearch
